,com_1,com_2,icd10,cluster
502,-2.675077,-7.441762,B780,-1
503,2.764788,0.8386854,B789,592
504,-7.775646,-7.9367666,B79,79
505,-9.168419,7.1976967,B80,164
506,6.1250935,0.40571916,B81,346
507,-10.936089,10.3467,B810,124
508,2.2316184,5.0400567,B811,-1
509,0.87779605,10.626607,B812,370
510,-2.7694173,0.17491527,B818,461
511,-0.05951608,-0.53684455,B829,655
512,-3.0764916,4.7938843,B830,421
513,2.2276626,1.032117,B831,-1
514,-4.3364363,8.685764,B832,398
515,10.816781,11.43489,B833,47
516,3.9248161,-9.057353,B838,162
517,-2.558427,5.2608466,B839,577
518,-7.045485,0.41187915,B850,-1
519,6.6687226,12.631455,B851,241
520,-0.5195295,-9.507696,B853,226
521,13.108865,-3.2134478,B854,45
522,0.74028856,7.4351325,B86,-1
523,-4.4684215,4.4791756,B869,542
524,-8.366573,-1.813657,B871,300
525,-8.368365,11.689648,B872,187
526,8.408089,-1.1886889,B880,273
527,2.2055273,3.5956247,B889,-1
528,-0.5055126,-0.35934007,B89,655
529,-1.123857,6.232199,B900,593
530,3.7539568,-6.6427536,B902,-1
531,2.6694021,4.813246,B908,-1
532,0.098854765,-4.722533,B909,-1
533,1.5948495,5.868168,B91,657
534,7.2449203,-3.6636128,B92,-1
535,-0.25375193,-12.376736,B942,-1
536,0.7326387,2.6515143,B948,712
537,-5.033851,-11.673286,B949,-1
538,6.3047853,16.384161,B951,42
539,-1.8344676,-9.287767,B952,-1
540,11.179596,3.4769063,B954,-1
541,6.1379128,2.7650826,B955,330
542,-1.4901545,5.465735,B956,660
543,-13.908062,8.170782,B957,54
544,-4.3137,-8.389125,B958,152
545,0.62127376,6.437829,B960,650
546,-1.3431681,-1.0221965,B961,575
547,-2.866483,-1.927554,B962,-1
548,-4.461022,-3.6022356,B963,-1
549,11.450783,2.374029,B964,161
550,1.368976,1.6596336,B965,713
551,-3.9169555,4.99374,B968,542
552,4.653403,9.234981,B9688,-1
553,1.5359098,13.48421,B970,-1
554,3.1967638,0.6444815,B971,-1
555,-3.3837018,7.8340726,B974,-1
556,-0.761168,-0.6798763,B977,-1
557,-7.944817,15.595932,B978,38
558,-4.801981,1.9925014,B980,499
559,0.84877574,5.5359507,B99,663
560,1.7103618,3.275681,C000,688
561,1.4751546,-2.4966848,C001,-1
562,0.93750536,4.56723,C002,-1
563,2.5308092,6.4343615,C003,-1
564,-1.1431682,-2.5928612,C004,602
565,-6.9264727,-3.3437054,C005,408
566,-7.4991446,-3.2755933,C006,-1
567,-1.2333136,0.13405062,C009,639
568,1.8339823,-5.5170317,C01,384
569,13.342826,-1.2368224,C02,110
570,2.9554124,4.619028,C020,621
571,2.213142,-5.5586658,C021,384
572,1.4368349,0.6595263,C022,-1
573,-2.004424,5.1439223,C023,578
574,-1.9995013,2.2021067,C024,676
575,1.6089886,0.72392917,C028,693
576,1.744531,-5.4515586,C029,-1
577,-6.7042847,13.041604,C03,158
578,-1.8875114,1.5549778,C030,677
579,-2.0789309,-0.93293333,C031,-1
580,2.673263,-6.16771,C039,381
581,8.758909,-1.0205487,C04,273
582,1.1407893,1.1014447,C040,710
583,-0.33835426,3.6478567,C041,-1
584,-6.8428025,-3.4250045,C048,408
585,1.3062695,-5.401613,C049,-1
586,-3.586421,14.500424,C05,-1
587,0.9969823,-4.807759,C050,-1
588,1.6846485,-5.6946607,C051,-1
589,0.47150588,1.0844524,C052,723
590,-7.131674,-0.1750482,C058,404
591,-0.5037904,1.9848965,C059,-1
592,-5.016187,-3.1356015,C06,412
593,1.4695929,-5.8194046,C060,-1
594,-1.196853,1.5843188,C061,677
595,-10.650312,9.230326,C0613,125
596,-2.1159058,3.6966774,C062,-1
597,11.27551,13.004612,C068,88
598,1.3143436,-4.7122684,C069,385
599,-1.4243555,-3.3881335,C07,527
600,14.402552,0.6122552,C08,-1
601,3.956318,-2.957183,C080,324
602,0.64098877,0.2559577,C081,-1
603,0.6788326,-2.4394324,C088,573
604,0.3193192,2.009875,C089,-1
605,0.45604354,8.689474,C09,559
606,-2.6041875,2.2020504,C090,626
607,4.7727394,5.4469056,C091,547
608,1.976783,1.2136544,C098,-1
609,1.8468436,-5.4555235,C099,384
610,0.51883763,9.084761,C10,-1
611,1.1719888,1.9616125,C100,721
612,6.70737,4.534641,C101,331
613,1.9803455,2.2128534,C102,687
614,-1.6931847,-0.27548847,C103,-1
615,-1.5454947,2.448853,C108,708
616,-1.7653396,1.930079,C109,677
617,6.2192383,-2.5232906,C11,314
618,-2.5468965,4.083756,C110,-1
619,-2.5123403,4.7574015,C111,640
620,1.2315104,3.401307,C112,-1
621,-2.812577,-6.7475643,C113,255
622,-0.09393787,-1.7516751,C118,-1
623,2.142837,-5.38052,C119,384
624,2.6239486,-5.250413,C12,383
625,-3.496243,-5.383915,C120,397
626,4.21021,4.324689,C129,550
627,-6.8200583,-0.7827322,C13,387
628,0.5542403,0.5081125,C130,656
629,3.806685,2.8829467,C131,-1
630,4.2741632,1.497667,C132,-1
631,0.83042186,2.2155256,C138,-1
632,1.328005,-6.0212383,C139,-1
633,5.8542166,9.855801,C14,-1
634,1.1507207,4.5025063,C140,682
635,-4.2265325,-11.488762,C141,-1
636,8.192932,4.631137,C142,337
637,-2.017118,2.3423307,C148,676
638,-5.383164,2.967662,C15,496
639,1.4027356,-0.44392657,C150,702
640,-2.163755,2.8646572,C151,561
641,0.058840834,13.05061,C152,-1
642,4.819376,-0.7403134,C153,530
643,-0.2991587,1.7054638,C154,726
644,-2.415462,2.4817884,C155,626
645,0.6141075,13.045262,C158,322
646,4.142019,-3.0429952,C159,324
647,0.1284136,1.8806524,C16,720
648,4.170964,-4.091456,C160,324
649,13.491375,-4.90182,C161,17
650,3.603105,-0.7806831,C162,-1
651,3.8584073,-1.7152505,C163,-1
652,2.9775174,2.4742835,C164,-1
653,-8.310775,0.6352824,C165,361
654,-7.600967,-0.063325495,C166,404
655,-8.749056,0.8935915,C168,362
656,4.4074,-3.1095028,C169,324
657,-10.20507,15.015562,C17,-1
658,2.8058345,0.7935382,C170,592
659,2.4798632,-3.041225,C171,582
660,-2.1869211,3.0459135,C172,561
661,-1.9229198,11.169382,C173,-1
662,-2.7850258,3.0228455,C178,633
663,-1.5111923,2.6006978,C179,708
664,-1.2483975,2.6116543,C18,707
665,4.8362665,-2.8288703,C180,459
666,3.4772403,1.6601309,C181,585
667,4.939987,-2.1445284,C182,459
668,5.24171,-2.024802,C183,-1
669,4.8845425,-2.5656035,C184,459
670,-4.7392864,0.9491505,C185,497
671,-0.22247574,0.3441812,C186,652
672,4.4786234,-2.6688426,C187,-1
673,0.58468485,4.0537753,C188,679
674,4.237501,-2.6613376,C189,-1
675,3.893004,-3.9798608,C19,420
676,4.247628,-3.001124,C20,324
677,-4.936224,1.4365712,C21,498
678,5.1797085,-2.1753304,C210,-1
679,3.7366047,-1.9981316,C211,517
680,8.439041,3.0054364,C212,303
681,3.333248,0.061359346,C218,523
682,-2.8823352,3.7965448,C22,644
683,4.2691894,-3.938294,C220,324
684,4.2924337,-3.7119126,C221,324
685,-1.7654127,5.774585,C222,593
686,5.8841376,-5.8102713,C223,219
687,0.032921493,6.2290587,C224,650
688,1.3939441,7.06857,C227,614
689,2.6553407,0.34150314,C229,-1
690,4.2943926,-3.1615093,C23,324
691,0.26569796,12.5219145,C24,322
692,0.9215263,5.721966,C240,663
693,4.0140986,-3.5366762,C241,324
694,-8.857067,-5.3597274,C248,-1
695,2.5763066,6.449877,C249,-1
696,-1.185759,3.7434373,C25,-1
697,3.8583293,-2.1211865,C250,517
698,-2.5598981,2.1728551,C251,626
699,3.107311,2.9534628,C252,624
700,-6.439378,-3.274255,C253,-1
701,-7.071225,0.042658865,C254,-1
702,9.783176,3.087499,C257,171
703,-0.64916503,2.4399319,C258,727
704,3.7059047,-2.2476294,C259,517
705,2.985089,1.2369795,C260,590
706,-8.146349,0.2673888,C261,361
707,2.8519106,5.3790536,C268,-1
708,3.1253364,-3.4424438,C269,419
709,3.3348994,4.540826,C30,617
710,-1.77488,-2.8641236,C300,501
711,-0.32085788,5.1252174,C301,661
712,10.160746,-5.717574,C31,82
713,-2.4062808,2.55068,C310,626
714,-1.1343439,1.0194936,C311,-1
715,-0.88788503,-1.0557623,C312,646
716,-4.694341,1.4491892,C313,-1
717,-7.2031937,-5.8534455,C318,217
718,-4.5596437,1.3049015,C319,497
