,com_1,com_2,icd10,cluster
631,-0.73465645,1.0926148,C160,-1
632,2.7408154,14.783825,C161,159
633,-2.7572687,9.053548,C162,-1
634,-3.6184225,7.3833237,C163,406
635,3.061673,1.8991851,C164,-1
636,-2.3711014,4.540813,C165,-1
637,2.690336,14.58277,C166,159
638,0.55259645,8.929572,C168,269
639,-3.5361936,7.8263664,C169,356
640,-1.996128,7.4891434,C170,401
641,4.243865,7.4376054,C171,431
642,4.9853635,2.4175546,C172,-1
643,15.299052,5.0936413,C173,42
644,-8.360849,7.510791,C178,-1
645,7.850055,2.9436202,C179,-1
646,-3.9525447,5.440654,C180,468
647,-1.3443276,6.703365,C181,509
648,-3.8974524,6.353987,C182,308
649,-3.4538383,7.2799587,C183,406
650,-3.09455,6.9906683,C184,405
651,-2.431255,7.5738297,C185,-1
652,-3.7137623,7.056505,C186,-1
653,-3.6985295,7.9327836,C187,356
654,3.1447656,4.5735064,C188,-1
655,-3.772933,6.6065288,C189,308
656,-3.5637193,4.54634,C19,-1
657,-3.8943694,6.5656037,C20,308
658,6.066338,-3.4398232,C21,-1
659,-1.4585999,7.2228365,C210,509
660,-2.2816157,6.6922874,C211,-1
661,5.8648753,-2.1394165,C218,-1
662,-4.176214,4.4988995,C220,407
663,-3.9642751,5.531165,C221,468
664,-3.1086254,-1.1721106,C222,-1
665,-5.325576,7.6986575,C224,-1
666,8.4580965,9.545923,C227,298
667,0.2852281,0.044386834,C229,495
668,-3.948314,5.83866,C23,-1
669,-1.3362509,7.6683187,C240,510
670,-3.4506342,6.296543,C241,308
671,11.396411,4.801562,C249,268
672,-3.9055095,4.373825,C250,407
673,-0.8494416,3.5264807,C251,574
674,0.09229074,5.8085947,C252,515
675,5.699667,8.541406,C253,-1
676,4.833449,4.08629,C254,-1
677,3.3674514,0.42905012,C257,-1
678,0.5353273,-0.79797995,C258,404
679,-4.441677,3.6912458,C259,325
680,1.8425903,-11.046922,C260,-1
681,5.7549405,-3.790161,C261,-1
682,11.716361,2.9270062,C268,-1
683,-1.498748,0.913528,C269,501
684,-0.78203917,2.481583,C300,547
685,11.459678,7.7649407,C301,273
686,-2.494608,3.82657,C310,507
687,1.5455592,4.3497214,C311,619
688,10.502858,-0.36380872,C312,-1
689,1.1292256,6.270651,C313,-1
690,10.083253,4.372629,C318,369
691,6.813065,-1.3887094,C319,379
692,-3.66752,2.035892,C320,-1
693,-4.1033816,1.5122476,C321,442
694,5.7762513,7.680065,C322,427
695,7.4054217,11.699715,C323,130
696,10.486789,2.9659224,C328,299
697,-0.07612731,2.60871,C329,562
698,-0.0079472875,1.4498215,C33,-1
699,-4.4001813,2.9399128,C340,480
700,-0.26384968,12.722207,C341,209
701,-2.6474571,4.007117,C342,507
702,-0.2298665,12.830838,C343,-1
703,5.8953376,4.609889,C348,422
704,-0.20407264,13.187299,C349,210
705,-2.8009698,3.2108326,C37,524
706,5.1304464,3.2545881,C380,568
707,2.9936373,12.618502,C381,-1
708,-0.21185255,2.536227,C382,562
709,6.4308767,-4.209483,C383,-1
710,0.13254943,5.7783117,C384,515
711,0.26355013,-5.255884,C388,221
712,-7.324219,0.08871908,C390,236
713,3.1685188,6.594013,C400,-1
714,7.70739,-0.13457389,C401,375
715,7.253136,8.218269,C402,322
716,5.53106,1.0649039,C403,-1
717,-4.9622326,-2.4014795,C408,-1
718,6.060582,12.705349,C409,-1
719,1.132894,2.7656496,C410,584
720,0.90819424,-0.91898066,C411,-1
721,3.5981526,5.0955796,C4119,544
722,-0.5379075,3.1178594,C412,547
